name,price,count,meta_category_id
"Аккаунты FB | Подтверждены по почте, почты в комплекте нет. Пол (MIX). Профиль частично заполнен. Двухфакторная авторизация включена. Useragent и cookies в комплекте. Зарегистрированы с MIX ip.",7.56,0,3
"Аккаунты FB | Подтверждены по почте, почты в комплекте нет. Пол (MIX). Имя на Немецком языке. Профиль частично заполнен. Двухфакторная авторизация включена. Useragent и сookies в комплекте. Зарегистрированы с Germany ip.",7.71,0,3
"Аккаунты FB | Подтверждены по почте, почты в комплекте нет. Пол (Ж). Профиль частично заполнен. Зарегистрированы с Bangladesh ip.",9.26,5763,3
"Аккаунты FB | Подтверждены по почте, почты в комплекте нет. Пол (MIX). Профиль частично заполнен. Token, cookies в комплекте. Зарегистрированы с Turkey ip.",10.80,347,3
"Аккаунты FB | Подтверждены по почте, почты в комплекте нет. Пол (MIX). Профиль частично заполнен. Token, cookies в комплекте. Зарегистрированы с Indonesia ip.",12.19,2560,3
"Аккаунты FB | Аккаунты подтверждены по смс. Подтверждены по почте, почты в комплекте нет. Пол (MIX). Профиль частично заполнен. Token, cookies в комплекте. Зарегистрированы с MIX ip.",12.34,1998,3
"Аккаунты FB | Подтверждены по почте, почты в комплекте нет. Пол (MIX). Профиль частично заполнен. Token в комплекте. Зарегистрированы с Malaysia ip.",12.34,0,3
"Аккаунты FB | Подтверждены по почте, почты в комплекте нет. Пол (MIX). Профиль частично заполнен. Token в комплекте. Зарегистрированы с Vietnam ip.",12.34,0,3
"Аккаунты FB | Подтверждены по почте, почты в комплекте нет. Пол (MIX). Cookies в комплекте. Зарегистрированы с Turkey ip.",13.73,1492,3
"Аккаунты FB | Подтверждены по почте, почты в комплекте нет. Пол (MIX). Cookies в комплекте. Зарегистрированы с MIX ip.",13.73,237,3
"Аккаунты FB | Подтверждены по почте@gmail.com, сама почта при этом не работает. Пол (MIX). Профиль частично заполнен. Token и cookies в комплекте. Зарегистрированы с MIX ip",13.88,2019,3
"Аккаунты FB | Подтверждены по почте, почты в комплекте нет. Пол (Ж). Профиль частично заполнен. Двухфакторная авторизация включена. Зарегистрированы с Bangladesh ip.",13.88,0,3
"Аккаунты FB | Подтверждены по почте, почты в комплекте нет. Пол (MIX). Профиль частично заполнен. Cookies в комплекте. Зарегистрированы с MIX ip.",15.12,0,3
"Аккаунты FB | Подтверждены по почте, почты в комплекте нет. Пол (MIX). Профиль частично заполнен. Token, cookies в комплекте. Зарегистрированы с Vietnam ip.",15.43,693,3
"Аккаунты FB | Подтверждены по почте, почты в комплекте нет. Пол (MIX). Имя на Португальском. Профиль частично заполнен. Двухфакторная авторизация включена. Useragent и сookies в комплекте. Зарегистрированы с Portugal ip.",15.43,0,3
"Аккаунты FB | Подтверждены по почте, почты в комплекте нет. Пол (MIX). Профиль частично заполнен. Token, cookies в комплекте. Зарегистрированы с Peru ip.",18.47,0,3
"Аккаунты FB | Подтверждены по почте, почты в комплекте нет. Пол (MIX). Профиль частично заполнен. Cookies в комплекте. Зарегистрированы с Vietnam ip.",18.51,18,3
"Аккаунты FB | Подтверждены по почте, почты в комплекте нет. Пол (MIX). Профиль частично заполнен. Двухфакторная авторизация включена. Зарегистрированы с Bangladesh ip.",18.51,0,3
"Аккаунты FB | Подтверждены по почте, почты в комплекте нет. Пол (MIX). Профиль частично заполнен. Token и cookies в комплекте. Зарегистрированы с УКР ip.",18.98,0,3
"Аккаунты FB | Подтверждены по почте, сама почта при этом не работает. Token в комплекте. Пол (MIX). Профиль частично заполнен. Зарегистрированы с Vietnam ip.",20.06,162,3
"Аккаунты FB | Подтверждены по почте@gmail.com, почта идет в комплекте. Пол (MIX). Профиль частично заполнен. Cookies в комплекте. Зарегистрированы с MIX ip.",24.51,0,3
"Аккаунты FB | Аккаунты подтверждены по смс. Подтверждены по почте, почты в комплекте нет. Пол (MIX). В профиль аккаунтов добавлена аватарка. Token, cookies в комплекте. Зарегистрированы Poland ip.",24.68,0,3
"Аккаунты FB | Подтверждены по почте, почта идет в комплекте. Пол (Ж). В профиль аккаунтов добавлена аватарка. Двухфакторная авторизация включена. Зарегистрированы с Bangladesh ip.",29.31,386,3
"Аккаунты FB | Подтверждены по SMS. Подтверждены по почте@gmx.com, почта в комплекте. Пол (Ж). Профиль частично заполнен. Useragent и cookies в комплекте. Зарегистрированы с USA ip",30.85,0,3
"Аккаунты FB | Подтверждены по почте@outlook.com/@hotmail.com, почта требует подтверждения по смс. Token и cookies в комплекте. Двухфакторная авторизация включена. Пол (MIX). Профиль частично заполнен. Зарегистрированы с Vietnam ip.",30.85,32,3
"Аккаунты FB | Подтверждены по почте, почта в комплекте. Пол (MIX). В профиль аккаунтов добавлена аватарка. Двухфакторная авторизация включена. Cookies, token в комплекте. Зарегистрированы с Turkey ip.",30.85,171,3
"Аккаунты FB | Подтверждены по SMS. Подтверждены по почте, почта идет в комплекте. Пол (Ж). Имя на латинице. Профиль частично заполнен. Создан фанпейдж. Useragent, cookies в комплекте. Зарегистрированы с United Kingdom ip.",30.85,0,3
"Аккаунты FB | Подтверждены по почте, почты в комплекте нет. Пол (MIX). Профиль частично заполнен. Двухфакторная авторизация включена. Token, cookies в комплекте. Зарегистрированы с Vietnam ip.",32.40,292,3
"Аккаунты FB | Подтверждены по SMS. Подтверждены по почте, почта требует подтверждения по смс. Пол (Ж). Имя на латинице. Профиль частично заполнен. Useragent, token, cookies в комплекте. Зарегистрированы с USA ip.",32.40,0,3
"Аккаунты FB | Подтверждены по SMS. Подтверждены по почте, почта требует подтверждения по смс. Пол (Ж). Имя на латинице. Профиль частично заполнен. Создан фанпейдж. Useragent, token, cookies в комплекте. Зарегистрированы с USA ip.",33.94,559,3
"Аккаунты FB | Подтверждены по почте, почты в комплекте нет. Пол (MIX). В профиль аккаунтов добавлена аватарка. Зарегистрированы с Turkey ip.",35.48,56,3
"Аккаунты FB | Подтверждены по почте, почты в комплекте нет. Пол (Ж). Имя на латинице. В профиль аккаунтов добавлена аватарка. Useragent, token и cookies в комплекте. Зарегистрированы с Ukraine ip",41.65,247,3
"Аккаунты FB | Подтверждены по SMS. Подтверждены по почте@gmx.com, почта требует подтверждения по смс. Пол (Ж). Имя на латинице. Профиль частично заполнен. Создан фанпейдж. Useragent, token, cookies в комплекте. Зарегистрированы с United Kingdom ip.",41.65,0,3
"Аккаунты FB | Подтверждены по почте, почты в комплекте нет. Пол (MIX). Профиль частично заполнен. Token и cookies в комплекте. Зарегистрированы с USA ip.",46.28,0,3
"Аккаунты FB | Подтверждены по почте, почты в комплекте нет. Пол (М). Профиль частично заполнен. Зарегистрированы с Turkey ip.",50.91,284,3
"Аккаунты FB | Подтверждены по почте, почты в комплекте нет. Пол (MIX). Профиль частично заполнен. Двухфакторная авторизация включена. Зарегистрированы с Turkey ip.",50.91,0,3
"Аккаунты FB | Подтверждены по SMS. Подтверждены по почте, почта требует подтверждения по смс. Пол (Ж). Имя на латинице. Профиль частично заполнен. Useragent, token, cookies в комплекте. Зарегистрированы с Poland ip.",54.00,35,3
"Аккаунты FB | Подтверждены по SMS. Подтверждены по почте, почты в комплекте нет. Пол (Ж). Профиль частично заполнен. Создан фанпейдж. Useragent, token, cookies в комплекте. Зарегистрированы с France ip.",54.00,40,3
"Аккаунты FB | Подтверждены по SMS. Подтверждены по почте@gmx.com, почта в комплекте. Пол (Ж). В профиль аккаунтов добавлена аватарка. Зарегистрированы с USA ip",58.62,0,3
"Аккаунты FB | Аккаунты подтверждены по смс. Подтверждены по почте@rambler.ru, почта в комплекте. Пол (MIX). Профиль не заполнен. Двухфакторная авторизация включена. Зарегистрированы с Taiwan ip.",64.80,5,3
"Аккаунты FB | Подтверждены по почте@outlook.com/hotmail.com, почта идет в комплекте. Пол (MIX). Профиль не заполнен. Useragent, token, cookies в комплекте. Двухфакторная авторизация включена. Зарегистрированы с Lithuania ip.",77.14,32,3
"Аккаунты FB | Подтверждены по почте@gmail.com, почта требует подтверждения по смс. Пол (MIX). В профиль аккаунтов добавлена аватарка. Двухфакторная авторизация включена. Зарегистрированы с Canada ip.",80.22,0,3
"Аккаунты FB | Подтверждены по почте, почты в комплекте нет. Пол (MIX). Профиль не заполнен. Зарегистрированы с Italy ip.",100.73,0,3
"Аккаунты FB | Аккаунты подтверждены по смс. Подтверждены по почте@outlook.com/@hotmail.com, сама почта при этом не работает. Пол (MIX). Профиль частично заполнен. Создан фанпейдж. Token и cookies в комплекте. Двухфакторная авторизация включена. Зарегистрированы с Ukraine ip",107.99,82,3
"Аккаунты FB | Аккаунты подтверждены по смс. Подтверждены по почте@outlook.com/@hotmail.com, сама почта при этом не работает. Пол (MIX). Профиль частично заполнен. Создан фанпейдж. Token и cookies в комплекте. Двухфакторная авторизация включена. Зарегистрированы с Lithuania ip",107.99,87,3
"Аккаунты FB | Подтверждены по почте, почты в комплекте нет. Пол (MIX). Профиль частично заполнен. Зарегистрированы с USA ip.",131.13,188,3
"Аккаунты FB | Подтверждены по почте, почты в комплекте нет. Пол (MIX). Профиль частично заполнен. Зарегистрированы с Vietnam ip.",131.13,219,3
"Аккаунты FB | Подтверждены по SMS. Подтверждены по почте, почты в комплекте нет. Пол (MIX). Имя на латинице. Профиль частично заполнен. Создан фанпейдж. Двухфакторная авторизация включена. Useragent, token, cookies в комплекте. Зарегистрированы с USA ip.",138.85,0,3
"Аккаунты FB | Подтверждены по SMS(US, CA +1). Подтверждены по почте, почта идет в комплекте. Пол (MIX). Профиль частично заполнен. Зарегистрированы с USA ip.",166.21,0,3
"Аккаунты FB | Подтверждены по почте@outlook.com/@hotmail.com, сама почта при этом не работает. Пол (MIX). Профиль частично заполнен. Создан фанпейдж. Token и cookies в комплекте. Двухфакторная авторизация включена. Зарегистрированы с Ukraine ip",169.70,51,3
"Аккаунты FB | Подтверждены по почте, почты в комплекте нет. Пол (MIX). Профиль частично заполнен. Useragent и cookies в комплекте. Двухфакторная авторизация включена. Зарегистрированы с France ip.",177.41,0,3
"Аккаунты FB | Подтверждены по почте@gmail.com, почта идет в комплекте. Пол (MIX). Профиль заполнен полностью. Зарегистрированы с Germany ip.",177.41,14,3
"Аккаунты FB | Подтверждены по почте@gmail.com, почта идет в комплекте. Пол (MIX). Профиль заполнен полностью. Зарегистрированы с Ukraine ip.",185.13,19,3
"Аккаунты FB | Подтверждены по почте@gmail.com, почта идет в комплекте. Пол (MIX). В профиль аккаунтов добавлена аватарка. Двухфакторная авторизация включена. Зарегистрированы с France ip.",185.13,0,3
"Аккаунты FB | Подтверждены по почте@gmail.com, почта идет в комплекте. Пол (MIX). В профиль аккаунтов добавлена аватарка. Зарегистрированы с France ip.",185.13,24,3
"Аккаунты FB | Подтверждены по почте@gmail.com, почта идет в комплекте. Пол (Ж). Профиль заполнен полностью. Зарегистрированы с USA ip.",192.84,202,3
"Аккаунты FB | Подтверждены по почте@gmail.com, почта идет в комплекте. Пол (Ж). Профиль заполнен полностью. Двухфакторная авторизация включена. Зарегистрированы с USA ip.",231.41,42,3
"Аккаунты FB | Количество подписчиков 50+ (друзья и подписчики). Подтверждены по почте, почты в комплекте нет. Пол (MIX). Профиль частично заполнен. Зарегистрированы с Bangladesh ip.",24.68,222,3
"Аккаунты FB | Количество подписчиков 50+ (друзья и подписчики). Подтверждены по почте, почта@mail.ru в комплекте. Пол (Ж). Профиль частично заполнен. Двухфакторная авторизация включена. Зарегистрированы с Bangladesh ip.",30.85,0,3
"Аккаунты FB | Количество подписчиков 100+ (друзья и подписчики). Подтверждены по почте, почты в комплекте нет. Пол (MIX). Профиль частично заполнен. Зарегистрированы с Bangladesh ip.",33.94,437,3
"Аккаунты FB | Количество друзей 100+ (друзья и подписчики). Подтверждены по почте@outlook.com/@hotmail.com, почта требует подтверждения по смс. Пол (MIX). Профиль частично заполнен. Зарегистрированы с Vietnam ip.",35.48,0,3
"Аккаунты FB | Количество подписчиков 100+ (друзья и подписчики). Подтверждены по почте@rambler.ru, почта в комплекте. Пол (MIX). Профиль частично заполнен. Двухфакторная авторизация включена. Зарегистрированы с Bangladesh ip.",38.57,0,3
"Аккаунты FB | Количество подписчиков 250+ (друзья и подписчики). Подтверждены по почте, почты в комплекте нет. Пол (MIX). В профиле добавлена аватарка. Cookies в комплекте. Зарегистрированы с MIX ip.",46.28,36,3
"Аккаунты FB | Количество подписчиков 250+ (друзья и подписчики). Подтверждены по почте, почта@outlook.com/hotmail.com в комплекте. Пол (MIX). Профиль частично заполнен. Зарегистрированы с Vietnam ip.",46.28,0,3
"Аккаунты FB | Количество друзей 50+ (друзья и подписчики). Подтверждены по почте@mail.ru, почта идет в комплекте. Пол (MIX). В профиле добавлена аватарка. Сookies в комплекте. Зарегистрированы с MIX ip.",47.36,197,3
"Аккаунты FB | Количество друзей 100+ (друзья и подписчики). Подтверждены по почте@outlook.com/hotmail.com, почта идет в комплекте. Пол (MIX). В профиле добавлена аватарка. Cookies в комплекте. Зарегистрированы с Vietnam ip.",51.68,0,3
"Аккаунты FB | Количество друзей 100+ (друзья и подписчики). Подтверждены по почте@outlook.com/hotmail.com, почта идет в комплекте. Пол (MIX). В профиле добавлена аватарка. Token, cookies в комплекте. Зарегистрированы с Vietnam ip.",54.00,49,3
"Аккаунты FB | Количество друзей 100+ (друзья и подписчики). Подтверждены по почте@outlook.com/@hotmail.com, почта требует подтверждения по смс. Пол (MIX). Профиль частично заполнен. Двухфакторная авторизация включена. Token и cookies в комплекте. Зарегистрированы с Vietnam ip.",54.00,118,3
"Аккаунты FB | Количество друзей 100+ (друзья и подписчики). Подтверждены по почте@mail.ru, почта идет в комплекте. Пол (MIX). В профиле добавлена аватарка. Сookies в комплекте. Зарегистрированы с MIX ip.",55.08,156,3
"Аккаунты FB | Количество друзей 100+ (друзья и подписчики). Подтверждены по почте, почты в комплекте нет. Пол (MIX). В профиль аккаунтов добавлена аватарка. Двухфакторная авторизация включена. Token, cookies в комплекте. Зарегистрированы с Vietnam ip.",61.71,154,3
